AgenteID,Nome,CPF,Data_Contratacao,Departamento,Turno,Supervisor,Telefone,Email,Data_Criacao,Data_Alteracao,Usuario_Criacao,Usuario_Alteracao,Ativo,Data_Inicio_Vigente,Data_Fim_Vigente
11,"Raphael Trindade",76332495863,2020-02-20,FINANCEIRO,Noturno,Ana,"(718) 570-3606",raphaeltrindade6373@hotmail.org,"2022-04-19 00:00:00","2024-02-07 00:00:00","Raja Braga","Germaine Brandao",N,"2021-01-08 00:00:00","2025-09-12 00:00:00"
12,"Tate de Moraes",29663886763,2023-01-02,OPERACAO,Noturno,Julia,"(937) 218-8448",tatedemoraes4314@aol.edu,"2020-06-05 00:00:00","2024-01-18 00:00:00","Celeste Azevedo","Gavin Ribeiro",N,"2021-07-10 00:00:00","2024-05-27 00:00:00"
13,"Rebekah Matos",22303750476,2020-09-06,OPERACAO,Flexivel,Ana,"(222) 799-7010",rebekahmatos@yahoo.com,"2023-08-31 00:00:00","2025-07-03 00:00:00","Howard Teixeira","Tanner Duarte",S,"2022-12-09 00:00:00","2025-04-29 00:00:00"
14,"Unity Muniz",53172680059,2024-03-12,COMERCIAL,Revezamento,Raquel,"(145) 924-1285",unitymuniz@hotmail.couk,"2021-08-31 00:00:00","2024-03-25 00:00:00","Vernon de Fatima","Mark Barbosa",S,"2020-06-11 00:00:00","2023-12-26 00:00:00"
15,"Lamar Ramos",64891673198,2021-01-05,RH,Diurno,Rodrigo,"(734) 446-6798",lamarramos3391@yahoo.couk,"2021-05-22 00:00:00","2024-03-03 00:00:00","Martina de Lourdes","Hayes Leite",S,"2023-04-25 00:00:00","2023-12-27 00:00:00"
16,"Germaine Pinto",77942051166,2022-04-15,COMERCIAL,Noturno,Julia,"(472) 711-9726",germainepinto@google.net,"2021-06-15 00:00:00","2025-06-25 00:00:00","Rhonda Teodoro","Quinn de Brito",S,"2024-07-07 00:00:00","2024-06-13 00:00:00"
17,"Adara de Moraes",35399232806,2021-08-23,COMERCIAL,FimSemana,Gilson,"(521) 228-5871",adarademoraes6421@google.net,"2023-07-25 00:00:00","2024-05-27 00:00:00","Brock Figueiredo","Derek de Sousa",N,"2021-09-23 00:00:00","2024-04-04 00:00:00"
18,"Brett Almeida",91706055894,2023-08-13,COMERCIAL,Parcial,Raquel,"(573) 367-6926",brettalmeida4177@google.edu,"2023-10-21 00:00:00","2025-09-01 00:00:00","Carlos Tavares","Valentine Pacheco",N,"2024-09-12 00:00:00","2023-11-15 00:00:00"
19,"Orson Cordeiro",82164859574,2022-11-28,MARKETING,Diurno,Rodrigo,"(269) 267-3314",orsoncordeiro1649@outlook.com,"2022-06-06 00:00:00","2024-12-16 00:00:00","Ainsley de Morais","Ori Mariano",S,"2020-04-12 00:00:00","2024-11-08 00:00:00"
20,"Lois de Azevedo",37287114478,2020-08-14,OPERACAO,Diurno,Gilson,"(858) 564-5327",loisdeazevedo@google.edu,"2020-01-15 00:00:00","2023-10-07 00:00:00","Herman dos Anjos","Nathaniel de Fatima",N,"2022-10-31 00:00:00","2024-06-03 00:00:00"
21,"Charissa Mendes",88771740679,2023-08-23,TI,Noturno,Henrique,"(951) 726-7510",charissamendes8493@aol.com,"2021-07-26 00:00:00","2024-08-28 00:00:00","Lucius Sampaio","Valentine Candido",N,"2024-03-25 00:00:00","2025-01-21 00:00:00"
22,"Sonya Medeiros",78050436731,2022-05-09,RH,FimSemana,Ana,"(387) 934-6145",sonyamedeiros9700@aol.ca,"2021-03-24 00:00:00","2025-08-06 00:00:00","MacKensie Trindade","Gisela Brito",N,"2024-09-21 00:00:00","2025-05-18 00:00:00"
23,"Cooper Borges",83683124111,2022-09-03,COMERCIAL,FimSemana,Ana,"(512) 528-8445",cooperborges@yahoo.ca,"2021-10-13 00:00:00","2025-02-27 00:00:00","Aileen Correia","Daniel Dantas",N,"2023-02-13 00:00:00","2025-04-13 00:00:00"
24,"Fritz Melo",50457232574,2021-11-25,JURIDICO,Parcial,Gilson,"(293) 541-7546",fritzmelo@icloud.couk,"2023-04-30 00:00:00","2025-07-07 00:00:00","Darrel Rezende","Abel Batista",N,"2021-02-18 00:00:00","2024-10-06 00:00:00"
25,"Haviva Pereira",47109646962,2020-11-17,RH,Revezamento,Ana,"(450) 678-9314",havivapereira2257@protonmail.couk,"2020-01-11 00:00:00","2025-07-22 00:00:00","Kellie Candido","Kaseem Andrade",N,"2020-08-14 00:00:00","2024-04-13 00:00:00"
26,"Uriel Xavier",43566014119,2023-06-09,COMERCIAL,Noturno,Renata,"(960) 787-8922",urielxavier@hotmail.net,"2020-05-05 00:00:00","2025-07-30 00:00:00","Jelani Bastos","TaShya Castro",S,"2021-03-12 00:00:00","2024-03-04 00:00:00"
27,"Olivia Paiva",83565278226,2024-06-12,TI,Noturno,Antonio,"(119) 496-7164",oliviapaiva628@aol.com,"2021-07-31 00:00:00","2025-01-23 00:00:00","Bethany Cavalcante","Whoopi Silva",N,"2020-10-16 00:00:00","2024-07-02 00:00:00"
28,"Teagan Antunes",15399528204,2021-01-09,FINANCEIRO,Diurno,Antonio,"(692) 657-6667",teaganantunes4698@icloud.com,"2021-10-10 00:00:00","2024-07-04 00:00:00","Victoria Cavalcante","Darius Machado",N,"2020-02-17 00:00:00","2023-12-10 00:00:00"
29,"Vanna Trindade",30427423734,2020-06-06,OPERACAO,Parcial,Ana,"(284) 638-0082",vannatrindade1582@google.couk,"2024-10-05 00:00:00","2025-07-11 00:00:00","Skyler Melo","Hammett de Andrade",S,"2020-07-16 00:00:00","2025-02-12 00:00:00"
30,"Garth Soares",61008004877,2021-09-01,RH,FimSemana,Renata,"(914) 366-6734",garthsoares3254@aol.edu,"2020-09-18 00:00:00","2025-02-13 00:00:00","Basil Duarte","Carl Faria",S,"2022-03-01 00:00:00","2025-09-13 00:00:00"
31,"Deirdre de Abreu",68943228059,2021-04-22,TI,FimSemana,Rodrigo,"(788) 250-4542",deirdredeabreu4756@hotmail.couk,"2020-12-07 00:00:00","2024-02-29 00:00:00","Destiny Aguiar","Forrest Duarte",S,"2020-05-21 00:00:00","2024-08-10 00:00:00"
32,"Kyle de Moura",73023827922,2020-11-04,OPERACAO,FimSemana,Renata,"(711) 544-0683",kyledemoura6318@protonmail.edu,"2024-12-27 00:00:00","2025-07-24 00:00:00","Kyle Leite","Flynn Matias",S,"2021-09-14 00:00:00","2025-07-02 00:00:00"
33,"Leonard Nascimento",53763237806,2020-10-09,OPERACAO,Diurno,Julia,"(172) 344-6217",leonardnascimento@google.ca,"2022-10-10 00:00:00","2025-04-17 00:00:00","Ocean Teles","Mufutau Castro",N,"2021-07-31 00:00:00","2024-08-18 00:00:00"
34,"Kellie Bezerra",39998368536,2022-09-10,COMERCIAL,Revezamento,Raquel,"(224) 428-8517",kelliebezerra236@outlook.com,"2020-07-28 00:00:00","2023-12-16 00:00:00","Jonah Freitas","Celeste dos Reis",N,"2023-05-22 00:00:00","2025-05-31 00:00:00"
35,"Noah Magalhaes",38848257457,2022-04-13,MARKETING,Noturno,Antonio,"(826) 865-2955",noahmagalhaes3040@hotmail.edu,"2020-01-07 00:00:00","2023-12-10 00:00:00","Brennan Simoes","Isaiah Sales",N,"2023-06-10 00:00:00","2025-09-03 00:00:00"
36,"Bianca Dutra",66371296490,2022-12-13,COMERCIAL,Flexivel,Claudio,"(190) 912-9713",biancadutra@hotmail.couk,"2020-03-06 00:00:00","2024-11-06 00:00:00","Martha Fagundes","Malachi Marinho",S,"2020-09-05 00:00:00","2023-10-14 00:00:00"
37,"Ria Barreto",70148476526,2022-06-09,OPERACAO,Parcial,Raquel,"(853) 337-4724",riabarreto@icloud.couk,"2023-11-14 00:00:00","2023-10-18 00:00:00","Lyle Leal","Tyler Cunha",N,"2022-06-16 00:00:00","2023-12-30 00:00:00"
38,"Quintessa Dias",12625453984,2023-02-27,RH,Flexivel,Raquel,"(606) 738-8816",quintessadias6935@hotmail.edu,"2021-07-02 00:00:00","2023-12-26 00:00:00","Murphy dos Santos","Wallace Teixeira",N,"2020-07-19 00:00:00","2024-01-29 00:00:00"
39,"Chandler Henrique",43929330352,2023-08-02,TI,Noturno,Antonio,"(569) 314-8108",chandlerhenrique1273@google.org,"2021-12-11 00:00:00","2025-02-17 00:00:00","Brent Mendes","Caesar dos Anjos",S,"2020-07-23 00:00:00","2024-01-05 00:00:00"
40,"Leonard Sántos",88201656963,2023-08-23,COMERCIAL,Parcial,Raquel,"(621) 459-4287",leonardsntos7314@icloud.com,"2024-02-23 00:00:00","2024-01-01 00:00:00","Isaac Brandao","Isadora Sántos",N,"2021-02-27 00:00:00","2024-06-28 00:00:00"
41,"Morgan Morais",77227873877,2023-10-13,RH,Noturno,Gilson,"(104) 486-6618",morganmorais7646@yahoo.couk,"2022-04-22 00:00:00","2025-01-16 00:00:00","Tyrone Marinho","Hilda Vasconcelos",N,"2022-07-11 00:00:00","2025-03-18 00:00:00"
42,"Karleigh Morais",30006965579,2024-01-07,FINANCEIRO,FimSemana,Gilson,"(739) 708-5324",karleighmorais@google.edu,"2024-09-23 00:00:00","2025-01-10 00:00:00","Carla Bispo","Hu Cordeiro",N,"2022-04-30 00:00:00","2023-10-20 00:00:00"
43,"Gregory Bezerra",65582409985,2024-02-05,RH,Revezamento,Claudio,"(872) 835-6516",gregorybezerra@protonmail.net,"2023-11-25 00:00:00","2025-03-31 00:00:00","Cade Martins","Jordan Felix",N,"2022-06-11 00:00:00","2024-03-21 00:00:00"
44,"Sean Coutinho",68781308009,2023-11-02,COMERCIAL,Diurno,Gilson,"(522) 875-9718",seancoutinho@outlook.edu,"2023-11-12 00:00:00","2024-03-22 00:00:00","Magee Gonzaga","Uma Mariano",S,"2022-09-27 00:00:00","2024-02-16 00:00:00"
45,"Willa Souza",39750552007,2020-05-11,COMERCIAL,FimSemana,Rodrigo,"(111) 485-9085",willasouza@protonmail.couk,"2024-03-07 00:00:00","2025-03-26 00:00:00","Nyssa Das Chagas","Imogene Bueno",N,"2022-12-26 00:00:00","2024-12-07 00:00:00"
46,"Dominique Caetano",77628190309,2023-06-15,COMERCIAL,Flexivel,Julia,"(309) 363-9238",dominiquecaetano@outlook.edu,"2024-08-22 00:00:00","2025-01-23 00:00:00","Candace Domingos","Alexander Mariano",N,"2022-02-01 00:00:00","2024-04-11 00:00:00"
47,"Felix de Santana",35457638213,2020-03-10,RH,Revezamento,Julia,"(571) 313-3453",felixdesantana8745@yahoo.net,"2021-07-24 00:00:00","2023-10-16 00:00:00","Lunea Coutinho","Wing Duarte",N,"2022-01-18 00:00:00","2025-06-17 00:00:00"
48,"Fredericka de Sousa",38968295664,2020-01-19,JURIDICO,FimSemana,Rodrigo,"(658) 595-1916",frederickadesousa@aol.edu,"2020-01-09 00:00:00","2025-09-23 00:00:00","Scott de Melo","Asher Barbosa",N,"2024-01-23 00:00:00","2025-08-14 00:00:00"
49,"Sylvester Machado",78581947842,2024-03-21,COMERCIAL,Flexivel,Antonio,"(845) 846-4511",sylvestermachado@hotmail.couk,"2022-01-07 00:00:00","2024-07-28 00:00:00","Tamara Cunha","Cheyenne de Assis",S,"2020-02-24 00:00:00","2023-12-03 00:00:00"
50,"Ursula Brito",74800884063,2023-02-18,MARKETING,FimSemana,Claudio,"(377) 931-4498",ursulabrito@outlook.com,"2021-04-01 00:00:00","2023-10-18 00:00:00","Brenden Pinheiro","Beau Das Chagas",S,"2023-05-23 00:00:00","2025-08-07 00:00:00"
51,"Hedy Chagas",70176279934,2020-01-14,COMERCIAL,Revezamento,Claudio,"(255) 916-3167",hedychagas@outlook.ca,"2022-04-02 00:00:00","2024-01-29 00:00:00","Lillith Chagas","Rhea Ramos",N,"2022-04-27 00:00:00","2024-03-15 00:00:00"
52,"Irene Borges",32741724188,2021-06-12,RH,Diurno,Henrique,"(299) 339-7326",ireneborges5412@aol.net,"2022-09-12 00:00:00","2024-12-07 00:00:00","Lydia da Rocha","Brittany Machado",N,"2023-04-15 00:00:00","2023-12-18 00:00:00"
53,"Kay da Costa",15665737203,2020-10-22,FINANCEIRO,Noturno,Renata,"(624) 866-4302",kaydacosta2597@protonmail.edu,"2021-08-16 00:00:00","2024-01-06 00:00:00","Jarrod Machado","Keelie Aguiar",S,"2023-02-09 00:00:00","2024-11-02 00:00:00"
54,"Jackson Paulino",95413837083,2020-10-22,JURIDICO,FimSemana,Raquel,"(284) 500-1268",jacksonpaulino@icloud.net,"2020-08-10 00:00:00","2024-07-20 00:00:00","Merrill de Azevedo","Quinn Coutinho",S,"2020-10-16 00:00:00","2024-08-13 00:00:00"
55,"Stuart Santos",56545568234,2022-08-30,FINANCEIRO,Revezamento,Renata,"(533) 235-8120",stuartsantos3952@icloud.org,"2023-10-18 00:00:00","2023-11-09 00:00:00","Timon Machado","Channing de Andrade",N,"2022-05-03 00:00:00","2024-02-24 00:00:00"
56,"Aristotle Abreu",63407318505,2024-09-12,MARKETING,Diurno,Renata,"(756) 774-8296",aristotleabreu878@yahoo.org,"2022-11-28 00:00:00","2024-09-15 00:00:00","Blythe de Melo","Ryder Fonseca",N,"2022-12-13 00:00:00","2024-03-13 00:00:00"
57,"Nicholas Firmino",57188871220,2024-08-19,JURIDICO,Revezamento,Antonio,"(454) 621-2024",nicholasfirmino543@aol.net,"2020-01-14 00:00:00","2023-12-05 00:00:00","Colorado Miranda","Ronan Domingos",S,"2020-06-01 00:00:00","2024-04-05 00:00:00"
58,"Jolene Trindade",54250520227,2022-02-15,TI,FimSemana,Rodrigo,"(987) 726-3446",jolenetrindade1619@outlook.edu,"2023-11-03 00:00:00","2024-04-04 00:00:00","Ebony Bueno","Neil de Andrade",N,"2022-08-30 00:00:00","2024-10-13 00:00:00"
59,"Darius de Melo",53663342923,2022-09-05,COMERCIAL,Revezamento,Rodrigo,"(532) 461-6442",dariusdemelo9041@outlook.com,"2023-12-21 00:00:00","2024-11-25 00:00:00","Destiny Feitosa","Breanna Neves",N,"2023-01-18 00:00:00","2025-04-14 00:00:00"
60,"Zahir Lima",45239788984,2020-09-13,COMERCIAL,FimSemana,Rodrigo,"(758) 322-4801",zahirlima6070@hotmail.ca,"2022-11-10 00:00:00","2025-01-19 00:00:00","Rose Morais","Quinlan de Matos",N,"2022-05-19 00:00:00","2024-11-22 00:00:00"
61,"Wade Chagas",59512393752,2024-09-09,COMERCIAL,Flexivel,Renata,"(161) 273-8566",wadechagas@yahoo.net,"2022-07-28 00:00:00","2024-07-31 00:00:00","Jescie Dutra","Jael Das Neves",S,"2023-07-01 00:00:00","2023-11-08 00:00:00"
62,"Castor Lima",27133209235,2024-01-23,JURIDICO,Revezamento,Renata,"(254) 504-6516",castorlima@outlook.ca,"2023-05-28 00:00:00","2024-06-09 00:00:00","Kay Paiva","Nasim dos Santos",S,"2021-03-08 00:00:00","2024-05-11 00:00:00"
63,"Clinton Pacheco",95114777991,2021-10-14,TI,FimSemana,Raquel,"(484) 244-7335",clintonpacheco3374@hotmail.org,"2023-08-06 00:00:00","2024-04-17 00:00:00","Cherokee Menezes","Talon Moreira",N,"2022-05-09 00:00:00","2025-09-19 00:00:00"
64,"Penelope Cruz",55936737360,2023-12-20,FINANCEIRO,Revezamento,Antonio,"(776) 684-8440",penelopecruz@outlook.ca,"2023-05-31 00:00:00","2025-07-02 00:00:00","Wilma Chaves","Risa de Lourdes",S,"2022-05-25 00:00:00","2025-05-10 00:00:00"
65,"Odysseus Nonato",60743203719,2020-12-25,TI,Diurno,Raquel,"(283) 619-2924",odysseusnonato@aol.edu,"2022-02-28 00:00:00","2024-09-08 00:00:00","Orson Magalhaes","Camille de Lourdes",S,"2020-04-09 00:00:00","2025-08-03 00:00:00"
66,"Stephen de Assis",54337780120,2023-09-30,TI,FimSemana,Raquel,"(183) 577-9753",stephendeassis@aol.edu,"2024-06-30 00:00:00","2024-07-22 00:00:00","Francesca Messias","Hedwig Borges",S,"2024-03-27 00:00:00","2025-03-14 00:00:00"
67,"Randall Vasconcelos",24952250622,2020-05-21,TI,Flexivel,Ana,"(423) 227-0271",randallvasconcelos3090@hotmail.org,"2024-01-21 00:00:00","2024-01-10 00:00:00","Hayley Sántos","Evelyn Bastos",S,"2021-07-07 00:00:00","2025-02-26 00:00:00"
68,"Sonia Abreu",48259299968,2021-07-11,TI,Revezamento,Julia,"(523) 217-2316",soniaabreu@yahoo.net,"2020-07-16 00:00:00","2025-03-18 00:00:00","Randall da Rosa","Samuel Gomes",N,"2023-02-15 00:00:00","2023-12-30 00:00:00"
69,"Briar Melo",90106518054,2021-02-03,TI,FimSemana,Antonio,"(296) 949-5170",briarmelo2274@icloud.couk,"2023-05-20 00:00:00","2024-08-27 00:00:00","Randall Nonato","Yuri Coelho",S,"2023-03-08 00:00:00","2023-10-06 00:00:00"
70,"Graiden Bastos",13678086630,2023-05-03,OPERACAO,Revezamento,Raquel,"(235) 829-7124",graidenbastos@protonmail.net,"2021-02-04 00:00:00","2023-12-19 00:00:00","Herrod Leite","Adara Das Chagas",N,"2021-06-12 00:00:00","2024-11-20 00:00:00"
71,"Chaim Barros",79005214707,2024-09-02,OPERACAO,Flexivel,Julia,"(144) 925-1436",chaimbarros@yahoo.com,"2023-12-29 00:00:00","2024-09-04 00:00:00","Ignacia Araujo","Miriam Xavier",S,"2022-01-03 00:00:00","2024-07-10 00:00:00"
72,"Thomas de Lourdes",72917794450,2022-08-28,OPERACAO,Revezamento,Rodrigo,"(346) 816-3084",thomasdelourdes@icloud.couk,"2022-03-31 00:00:00","2025-03-15 00:00:00","Patience do Nascimento","Haviva Das Gracas",S,"2020-05-19 00:00:00","2025-09-21 00:00:00"
73,"Carol de Barros",99555649496,2024-01-27,FINANCEIRO,FimSemana,Rodrigo,"(833) 830-3961",caroldebarros@outlook.edu,"2021-06-16 00:00:00","2023-11-23 00:00:00","Robin Amaral","Tanner Costa",N,"2020-06-24 00:00:00","2024-07-30 00:00:00"
74,"Flynn Machado",16297659030,2020-06-15,MARKETING,Revezamento,Gilson,"(724) 346-2752",flynnmachado7920@protonmail.couk,"2021-11-13 00:00:00","2024-12-09 00:00:00","Gareth Araujo","Jasper Mariano",S,"2020-02-22 00:00:00","2025-03-27 00:00:00"
75,"Germaine Domingos",63921150154,2023-10-26,JURIDICO,Diurno,Raquel,"(215) 580-3384",germainedomingos6391@protonmail.com,"2023-12-22 00:00:00","2023-12-07 00:00:00","Dieter Gonzaga","Adria de Santana",S,"2022-09-19 00:00:00","2024-09-16 00:00:00"
76,"Dale Castro",18900444659,2021-04-22,RH,Parcial,Julia,"(748) 285-5975",dalecastro6696@outlook.org,"2023-10-05 00:00:00","2024-11-04 00:00:00","Mollie Coelho","Nerea Messias",N,"2020-10-30 00:00:00","2023-11-05 00:00:00"
77,"Chaim Das Chagas",11321647929,2020-06-23,FINANCEIRO,Noturno,Rodrigo,"(313) 296-8702",chaimdaschagas4041@protonmail.couk,"2021-12-24 00:00:00","2025-02-24 00:00:00","Colin da Rocha","Ulysses Candido",N,"2020-01-20 00:00:00","2025-03-08 00:00:00"
78,"Kieran Sousa",77433509604,2024-06-19,MARKETING,Flexivel,Renata,"(417) 787-7246",kieransousa@aol.edu,"2022-12-15 00:00:00","2024-10-24 00:00:00","Priscilla Braz","Kasimir da Silveira",N,"2022-12-05 00:00:00","2025-02-26 00:00:00"
79,"Holmes Carneiro",25916717181,2023-03-13,RH,Noturno,Antonio,"(738) 816-5877",holmescarneiro49@aol.com,"2024-12-10 00:00:00","2025-08-31 00:00:00","Shelley Pinto","Macon Nogueira",N,"2024-10-23 00:00:00","2024-06-24 00:00:00"
80,"Melanie Teles",50380397900,2021-04-02,FINANCEIRO,Flexivel,Julia,"(467) 636-6162",melanieteles9761@outlook.couk,"2024-04-03 00:00:00","2024-09-29 00:00:00","Rhona Diniz","Abraham Amorim",S,"2022-07-18 00:00:00","2025-09-12 00:00:00"
81,"Oliver Brito",87248483472,2020-10-20,MARKETING,Diurno,Raquel,"(745) 282-3059",oliverbrito6209@aol.edu,"2022-10-23 00:00:00","2024-05-03 00:00:00","Judah Medeiros","Evan Barros",N,"2021-07-14 00:00:00","2025-01-26 00:00:00"
82,"Jasper Nogueira",43501755779,2023-09-01,RH,Flexivel,Antonio,"(463) 643-3467",jaspernogueira@icloud.com,"2021-06-28 00:00:00","2025-09-20 00:00:00","Nasim Santiago","Matthew Lemos",S,"2023-07-31 00:00:00","2024-02-03 00:00:00"
83,"Fredericka dos Anjos",85359594709,2020-08-18,RH,Flexivel,Ana,"(268) 535-2626",frederickadosanjos@aol.net,"2024-03-14 00:00:00","2025-06-26 00:00:00","Wynter Franca","Seth Firmino",S,"2022-03-25 00:00:00","2024-08-23 00:00:00"
84,"Amery Queiroz",80575369964,2021-04-14,RH,Diurno,Ana,"(694) 976-9438",ameryqueiroz7353@yahoo.edu,"2022-08-15 00:00:00","2024-04-21 00:00:00","Reese Alves","Clementine Costa",N,"2024-02-24 00:00:00","2024-05-12 00:00:00"
85,"Wanda Vieira",46959311021,2023-05-22,RH,FimSemana,Rodrigo,"(887) 669-7951",wandavieira@icloud.net,"2020-05-26 00:00:00","2024-11-25 00:00:00","Alyssa Moraes","Venus Torres",S,"2024-04-03 00:00:00","2024-03-21 00:00:00"
86,"Shelley Siqueira",56237647770,2020-05-03,COMERCIAL,Revezamento,Rodrigo,"(811) 364-1133",shelleysiqueira@icloud.net,"2024-07-28 00:00:00","2024-03-16 00:00:00","Maisie Gonzaga","Melissa Santana",N,"2024-11-14 00:00:00","2024-09-07 00:00:00"
87,"Deborah da Rocha",24110433863,2021-07-17,OPERACAO,FimSemana,Antonio,"(334) 574-6653",deborahdarocha@yahoo.com,"2022-02-10 00:00:00","2024-10-03 00:00:00","Jakeem de Lourdes","Amy Melo",S,"2024-11-27 00:00:00","2024-07-08 00:00:00"
88,"Kirk Gonzaga",61176689918,2022-10-26,COMERCIAL,Parcial,Gilson,"(762) 687-7336",kirkgonzaga@protonmail.net,"2021-09-18 00:00:00","2025-03-19 00:00:00","Cara Oliveira","Plato Rezende",S,"2022-05-14 00:00:00","2024-10-23 00:00:00"
89,"Abbot de Lourdes",15793728792,2022-04-07,MARKETING,Noturno,Renata,"(831) 259-0667",abbotdelourdes9029@aol.net,"2023-09-02 00:00:00","2024-05-17 00:00:00","Winifred Queiroz","Nero Rosa",N,"2024-05-31 00:00:00","2024-11-19 00:00:00"
90,"Lani Garcia",46733345046,2024-08-30,MARKETING,Noturno,Julia,"(849) 672-5358",lanigarcia7150@icloud.couk,"2022-10-09 00:00:00","2025-08-12 00:00:00","Vivian Siqueira","Sierra Correia",N,"2023-11-29 00:00:00","2024-08-02 00:00:00"
91,"Phelan Cabral",41219970170,2021-08-30,FINANCEIRO,Noturno,Rodrigo,"(864) 145-6454",phelancabral@google.couk,"2023-03-30 00:00:00","2025-08-14 00:00:00","Marah Medeiros","Melissa do Nascimento",S,"2022-01-01 00:00:00","2024-08-12 00:00:00"
92,"Shafira de Jesus",30224414258,2020-04-08,FINANCEIRO,Noturno,Ana,"(578) 536-3679",shafiradejesus7913@icloud.ca,"2020-06-22 00:00:00","2025-06-05 00:00:00","Mara de Matos","Raymond Vieira",N,"2020-09-05 00:00:00","2025-03-13 00:00:00"
93,"Amity da Rosa",17028293649,2021-06-12,COMERCIAL,FimSemana,Antonio,"(157) 162-6354",amitydarosa7086@aol.couk,"2021-09-23 00:00:00","2024-11-24 00:00:00","Illiana de Souza","Dana Pereira",S,"2024-03-24 00:00:00","2024-04-25 00:00:00"
94,"Donovan Moura",46007918924,2020-02-22,OPERACAO,Noturno,Raquel,"(365) 789-0632",donovanmoura@icloud.com,"2022-03-20 00:00:00","2025-03-06 00:00:00","Tanisha Evangelista","Britanney Pacheco",S,"2023-05-11 00:00:00","2025-05-20 00:00:00"
95,"Xyla Galdino",69075340974,2022-09-29,TI,Revezamento,Claudio,"(520) 567-1522",xylagaldino6263@outlook.couk,"2024-04-25 00:00:00","2024-03-13 00:00:00","Maite Maciel","Alexander Morais",S,"2022-07-03 00:00:00","2025-09-24 00:00:00"
96,"Levi Dutra",19258382868,2020-04-13,COMERCIAL,Noturno,Rodrigo,"(474) 611-1783",levidutra1926@icloud.couk,"2020-11-02 00:00:00","2025-03-20 00:00:00","Hayes Simoes","Jena Rocha",N,"2020-11-11 00:00:00","2024-05-16 00:00:00"
97,"Jacqueline Correa",90236913010,2023-08-05,RH,Flexivel,Raquel,"(566) 823-8625",jacquelinecorrea@google.ca,"2020-08-28 00:00:00","2024-11-06 00:00:00","Nomlanga Ferreira","Troy de Santana",N,"2022-03-09 00:00:00","2024-07-27 00:00:00"
98,"Joel Matos",49465986488,2020-03-04,TI,FimSemana,Henrique,"(348) 342-4445",joelmatos@aol.org,"2022-09-30 00:00:00","2024-05-14 00:00:00","Victoria Galdino","George Queiroz",N,"2021-09-28 00:00:00","2023-11-19 00:00:00"
